WeekEnding,HealthBoardOfTreatment,HealthBoardOfTreatmentQF,InfluenzaAdmissions,InfluenzaAdmissionsQF,RSVAdmissions,RSVAdmissionsQF
20210221,S08000032,,0,,0,
20210221,S08000024,,0,,1,
20210221,S08000025,,0,,0,
20210221,S08000026,,0,,0,
20210221,S08000030,,0,,0,
20210221,S08000028,,0,,0,
20210221,SB0801,,,:,0,
20210221,S92000003,d,0,,5,
20210228,S08000015,,0,,0,
20210228,S08000016,,0,,0,
20210228,S08000017,,0,,1,
20210228,S08000029,,0,,0,
20210228,S08000019,,0,,0,
20210228,S08000020,,0,,1,
20210228,S08000031,,2,,2,
20210228,S08000022,,0,,0,
20210228,S08000032,,0,,0,
20210228,S08000024,,0,,4,
20210228,S08000025,,0,,0,
20210228,S08000026,,0,,0,
20210228,S08000030,,0,,0,
20210228,S08000028,,0,,0,
20210228,SB0801,,,:,0,
20210228,S92000003,d,2,,8,
20210307,S08000015,,0,,0,
20210307,S08000016,,0,,0,
20210307,S08000017,,0,,0,
20210307,S08000029,,0,,0,
20210307,S08000019,,0,,0,
20210307,S08000020,,1,,2,
20210307,S08000031,,2,,3,
20210307,S08000022,,0,,0,
20210307,S08000032,,0,,0,
20210307,S08000024,,0,,4,
20210307,S08000025,,0,,0,
20210307,S08000026,,0,,0,
20210307,S08000030,,0,,0,
20210307,S08000028,,0,,0,
20210307,SB0801,,,:,0,
20210307,S92000003,d,3,,9,
20210314,S08000015,,0,,1,
20210314,S08000016,,0,,0,
20210314,S08000017,,0,,1,
20210314,S08000029,,0,,0,
20210314,S08000019,,0,,1,
20210314,S08000020,,0,,0,
20210314,S08000031,,2,,1,
20210314,S08000022,,0,,0,
20210314,S08000032,,0,,0,
20210314,S08000024,,0,,4,
20210314,S08000025,,0,,0,
20210314,S08000026,,0,,0,
20210314,S08000030,,0,,0,
20210314,S08000028,,0,,0,
20210314,SB0801,,,:,0,
20210314,S92000003,d,2,,8,
20210321,S08000015,,0,,0,
20210321,S08000016,,0,,0,
20210321,S08000017,,0,,1,
20210321,S08000029,,0,,0,
20210321,S08000019,,0,,0,
20210321,S08000020,,0,,1,
20210321,S08000031,,0,,1,
20210321,S08000022,,0,,0,
20210321,S08000032,,0,,1,
20210321,S08000024,,0,,1,
20210321,S08000025,,0,,0,
20210321,S08000026,,0,,0,
20210321,S08000030,,0,,0,
20210321,S08000028,,0,,0,
20210321,SB0801,,,:,0,
20210321,S92000003,d,0,,5,
20210328,S08000015,,0,,0,
20210328,S08000016,,0,,0,
20210328,S08000017,,0,,1,
20210328,S08000029,,0,,0,
20210328,S08000019,,0,,0,
20210328,S08000020,,0,,0,
20210328,S08000031,,1,,3,
20210328,S08000022,,0,,0,
20210328,S08000032,,0,,1,
20210328,S08000024,,0,,2,
20210328,S08000025,,0,,0,
20210328,S08000026,,0,,0,
20210328,S08000030,,0,,2,
20210328,S08000028,,0,,0,
20210328,SB0801,,,:,0,
20210328,S92000003,d,1,,9,
20210404,S08000015,,0,,0,
20210404,S08000016,,0,,0,
20210404,S08000017,,0,,1,
20210404,S08000029,,0,,1,
20210404,S08000019,,0,,1,
20210404,S08000020,,0,,0,
20210404,S08000031,,1,,1,
20210404,S08000022,,0,,0,
20210404,S08000032,,0,,0,
20210404,S08000024,,0,,0,
20210404,S08000025,,0,,0,
20210404,S08000026,,0,,0,
20210404,S08000030,,0,,0,
20210404,S08000028,,0,,0,
20210404,SB0801,,,:,0,
20210404,S92000003,d,1,,4,
20210411,S08000015,,0,,0,
20210411,S08000016,,0,,0,
20210411,S08000017,,0,,0,
20210411,S08000029,,0,,0,
20210411,S08000019,,0,,3,
20210411,S08000020,,0,,0,
20210411,S08000031,,0,,2,
20210411,S08000022,,0,,0,
20210411,S08000032,,0,,0,
20210411,S08000024,,0,,0,
20210411,S08000025,,0,,0,
20210411,S08000026,,0,,0,
20210411,S08000030,,0,,0,
20210411,S08000028,,0,,0,
20210411,SB0801,,,:,0,
20210411,S92000003,d,0,,5,
20210418,S08000015,,0,,0,
20210418,S08000016,,0,,0,
20210418,S08000017,,0,,0,
20210418,S08000029,,0,,0,
20210418,S08000019,,0,,2,
20210418,S08000020,,0,,1,
20210418,S08000031,,0,,1,
20210418,S08000022,,0,,0,
20210418,S08000032,,0,,0,
20210418,S08000024,,0,,0,
20210418,S08000025,,0,,0,
20210418,S08000026,,0,,0,
20210418,S08000030,,0,,1,
20210418,S08000028,,0,,0,
20210418,SB0801,,,:,0,
20210418,S92000003,d,0,,5,
20210425,S08000015,,0,,0,
20210425,S08000016,,0,,0,
20210425,S08000017,,0,,0,
20210425,S08000029,,0,,1,
20210425,S08000019,,0,,0,
20210425,S08000020,,0,,0,
20210425,S08000031,,1,,0,
20210425,S08000022,,0,,0,
20210425,S08000032,,0,,0,
20210425,S08000024,,0,,0,
20210425,S08000025,,0,,0,
20210425,S08000026,,0,,0,
20210425,S08000030,,0,,1,
20210425,S08000028,,0,,0,
20210425,SB0801,,,:,0,
20210425,S92000003,d,1,,2,
20210502,S08000015,,0,,0,
20210502,S08000016,,0,,0,
20210502,S08000017,,0,,0,
20210502,S08000029,,0,,0,
20210502,S08000019,,0,,0,
20210502,S08000020,,0,,0,
20210502,S08000031,,1,,1,
20210502,S08000022,,0,,0,
20210502,S08000032,,0,,0,
20210502,S08000024,,0,,0,
20210502,S08000025,,0,,0,
20210502,S08000026,,0,,0,
20210502,S08000030,,0,,0,
20210502,S08000028,,0,,0,
20210502,SB0801,,,:,0,
20210502,S92000003,d,1,,1,
20210509,S08000015,,0,,0,
20210509,S08000016,,0,,0,
20210509,S08000017,,0,,0,
20210509,S08000029,,0,,0,
20210509,S08000019,,0,,3,
20210509,S08000020,,0,,0,
20210509,S08000031,,2,,1,
20210509,S08000022,,0,,0,
20210509,S08000032,,0,,0,
20210509,S08000024,,0,,1,
20210509,S08000025,,0,,0,
20210509,S08000026,,0,,0,
20210509,S08000030,,0,,0,
20210509,S08000028,,0,,0,
20210509,SB0801,,,:,0,
20210509,S92000003,d,2,,5,
20210516,S08000015,,0,,0,
20210516,S08000016,,0,,0,
20210516,S08000017,,0,,0,
20210516,S08000029,,0,,0,
20210516,S08000019,,0,,2,
20210516,S08000020,,2,,0,
20210516,S08000031,,0,,0,
20210516,S08000022,,0,,0,
20210516,S08000032,,0,,1,
20210516,S08000024,,0,,1,
20210516,S08000025,,0,,0,
20210516,S08000026,,0,,0,
20210516,S08000030,,0,,0,
20210516,S08000028,,0,,0,
20210516,SB0801,,,:,0,
20210516,S92000003,d,2,,4,
20210523,S08000015,,0,,0,
20210523,S08000016,,0,,1,
20210523,S08000017,,0,,0,
20210523,S08000029,,0,,0,
20210523,S08000019,,0,,1,
20210523,S08000020,,0,,0,
20210523,S08000031,,1,,2,
20210523,S08000022,,0,,0,
20210523,S08000032,,0,,1,
20210523,S08000024,,0,,3,
20210523,S08000025,,0,,0,
20210523,S08000026,,0,,0,
20210523,S08000030,,0,,0,
20210523,S08000028,,0,,0,
20210523,SB0801,,,:,0,
20210523,S92000003,d,1,,8,
20210530,S08000015,,0,,0,
20210530,S08000016,,0,,0,
20210530,S08000017,,0,,0,
20210530,S08000029,,0,,0,
20210530,S08000019,,0,,3,
20210530,S08000020,,1,,0,
20210530,S08000031,,0,,0,
20210530,S08000022,,0,,0,
20210530,S08000032,,0,,0,
20210530,S08000024,,0,,1,
20210530,S08000025,,0,,0,
20210530,S08000026,,0,,0,
20210530,S08000030,,0,,2,
20210530,S08000028,,0,,0,
20210530,SB0801,,,:,0,
20210530,S92000003,d,1,,6,
20210606,S08000015,,0,,0,
20210606,S08000016,,0,,0,
20210606,S08000017,,0,,0,
20210606,S08000029,,0,,0,
20210606,S08000019,,0,,4,
20210606,S08000020,,0,,1,
20210606,S08000031,,0,,1,
20210606,S08000022,,0,,0,
20210606,S08000032,,1,,1,
20210606,S08000024,,0,,0,
20210606,S08000025,,0,,0,
20210606,S08000026,,0,,0,
20210606,S08000030,,0,,0,
20210606,S08000028,,0,,0,
20210606,SB0801,,,:,0,
20210606,S92000003,d,1,,7,
20210613,S08000015,,0,,0,
20210613,S08000016,,0,,0,
20210613,S08000017,,0,,0,
20210613,S08000029,,0,,0,
20210613,S08000019,,0,,2,
20210613,S08000020,,1,,1,
20210613,S08000031,,0,,2,
20210613,S08000022,,0,,3,
20210613,S08000032,,0,,0,
20210613,S08000024,,0,,1,
20210613,S08000025,,0,,0,
20210613,S08000026,,0,,0,
20210613,S08000030,,0,,0,
20210613,S08000028,,0,,0,
20210613,SB0801,,,:,0,
20210613,S92000003,d,1,,9,
20210620,S08000015,,0,,0,
20210620,S08000016,,0,,0,
20210620,S08000017,,0,,1,
20210620,S08000029,,0,,1,
20210620,S08000019,,0,,3,
20210620,S08000020,,0,,1,
20210620,S08000031,,1,,2,
20210620,S08000022,,0,,1,
20210620,S08000032,,0,,1,
20210620,S08000024,,0,,2,
20210620,S08000025,,0,,0,
20210620,S08000026,,0,,0,
20210620,S08000030,,0,,0,
20210620,S08000028,,0,,0,
20210620,SB0801,,,:,0,
20210620,S92000003,d,1,,12,
20210627,S08000015,,0,,0,
20210627,S08000016,,0,,0,
20210627,S08000017,,0,,0,
20210627,S08000029,,0,,0,
20210627,S08000019,,0,,3,
20210627,S08000020,,0,,2,
20210627,S08000031,,0,,1,
20210627,S08000022,,0,,0,
20210627,S08000032,,0,,1,
20210627,S08000024,,0,,2,
20210627,S08000025,,0,,0,
20210627,S08000026,,0,,0,
20210627,S08000030,,0,,1,
20210627,S08000028,,0,,0,
20210627,SB0801,,,:,0,
20210627,S92000003,d,0,,10,
20210704,S08000015,,0,,0,
20210704,S08000016,,0,,0,
20210704,S08000017,,0,,0,
20210704,S08000029,,0,,0,
20210704,S08000019,,0,,0,
20210704,S08000020,,0,,3,
20210704,S08000031,,0,,0,
20210704,S08000022,,0,,1,
20210704,S08000032,,0,,3,
20210704,S08000024,,0,,0,
20210704,S08000025,,0,,0,
20210704,S08000026,,0,,0,
20210704,S08000030,,0,,2,
20210704,S08000028,,0,,0,
20210704,SB0801,,,:,0,
20210704,S92000003,d,0,,9,
20210711,S08000015,,0,,0,
20210711,S08000016,,0,,0,
20210711,S08000017,,0,,0,
20210711,S08000029,,0,,1,
20210711,S08000019,,0,,0,
20210711,S08000020,,0,,1,
20210711,S08000031,,0,,1,
20210711,S08000022,,0,,4,
20210711,S08000032,,0,,2,
20210711,S08000024,,0,,0,
20210711,S08000025,,0,,0,
20210711,S08000026,,0,,0,
20210711,S08000030,,0,,1,
20210711,S08000028,,0,,0,
20210711,SB0801,,,:,0,
20210711,S92000003,d,0,,10,
20210718,S08000015,,0,,0,
20210718,S08000016,,0,,0,
20210718,S08000017,,0,,0,
20210718,S08000029,,0,,1,
20210718,S08000019,,0,,3,
20210718,S08000020,,0,,1,
20210718,S08000031,,0,,7,
20210718,S08000022,,0,,6,
20210718,S08000032,,0,,3,
20210718,S08000024,,0,,3,
20210718,S08000025,,0,,0,
20210718,S08000026,,0,,0,
20210718,S08000030,,0,,0,
20210718,S08000028,,0,,0,
20210718,SB0801,,,:,1,
20210718,S92000003,d,0,,25,
20210725,S08000015,,0,,0,
20210725,S08000016,,0,,0,
20210725,S08000017,,0,,0,
20210725,S08000029,,0,,0,
20210725,S08000019,,0,,3,
20210725,S08000020,,0,,1,
20210725,S08000031,,0,,6,
20210725,S08000022,,0,,1,
20210725,S08000032,,0,,1,
20210725,S08000024,,0,,2,
20210725,S08000025,,0,,0,
20210725,S08000026,,0,,0,
20210725,S08000030,,0,,3,
20210725,S08000028,,0,,0,
20210725,SB0801,,,:,0,
20210725,S92000003,d,0,,17,
20210801,S08000015,,0,,0,
20210801,S08000016,,0,,0,
20210801,S08000017,,0,,0,
20210801,S08000029,,0,,1,
20210801,S08000019,,0,,4,
20210801,S08000020,,0,,3,
20210801,S08000031,,0,,7,
20210801,S08000022,,0,,1,
20210801,S08000032,,0,,1,
20210801,S08000024,,0,,1,
20210801,S08000025,,0,,0,
20210801,S08000026,,0,,0,
20210801,S08000030,,0,,0,
20210801,S08000028,,0,,0,
20210801,SB0801,,,:,0,
20210801,S92000003,d,0,,18,
20210808,S08000015,,0,,0,
20210808,S08000016,,0,,0,
20210808,S08000017,,0,,2,
20210808,S08000029,,0,,2,
20210808,S08000019,,0,,4,
20210808,S08000020,,0,,8,
20210808,S08000031,,0,,14,
20210808,S08000022,,0,,0,
20210808,S08000032,,0,,1,
20210808,S08000024,,0,,12,
20210808,S08000025,,0,,0,
20210808,S08000026,,0,,0,
20210808,S08000030,,0,,1,
20210808,S08000028,,0,,0,
20210808,SB0801,,,:,0,
20210808,S92000003,d,0,,44,
20210815,S08000015,,0,,1,
20210815,S08000016,,0,,1,
20210815,S08000017,,0,,3,
20210815,S08000029,,0,,1,
20210815,S08000019,,0,,0,
20210815,S08000020,,1,,4,
20210815,S08000031,,0,,25,
20210815,S08000022,,0,,1,
20210815,S08000032,,0,,4,
20210815,S08000024,,0,,9,
20210815,S08000025,,0,,0,
20210815,S08000026,,0,,0,
20210815,S08000030,,0,,3,
20210815,S08000028,,0,,0,
20210815,SB0801,,,:,0,
20210815,S92000003,d,1,,52,
20210822,S08000015,,0,,1,
20210822,S08000016,,0,,4,
20210822,S08000017,,0,,1,
20210822,S08000029,,0,,2,
20210822,S08000019,,0,,12,
20210822,S08000020,,0,,16,
20210822,S08000031,,0,,22,
20210822,S08000022,,0,,1,
20210822,S08000032,,0,,2,
20210822,S08000024,,0,,13,
20210822,S08000025,,0,,0,
20210822,S08000026,,0,,0,
20210822,S08000030,,0,,3,
20210822,S08000028,,0,,0,
20210822,SB0801,,,:,0,
20210822,S92000003,d,0,,77,
20210829,S08000015,,0,,1,
20210829,S08000016,,0,,3,
20210829,S08000017,,0,,2,
20210829,S08000029,,0,,2,
20210829,S08000019,,0,,5,
20210829,S08000020,,0,,33,
20210829,S08000031,,0,,39,
20210829,S08000022,,0,,0,
20210829,S08000032,,0,,3,
20210829,S08000024,,0,,14,
20210829,S08000025,,0,,0,
20210829,S08000026,,0,,0,
20210829,S08000030,,0,,10,
20210829,S08000028,,0,,0,
20210829,SB0801,,,:,0,
20210829,S92000003,d,0,,112,
20210905,S08000015,,0,,1,
20210905,S08000016,,0,,8,
20210905,S08000017,,0,,7,
20210905,S08000029,,0,,7,
20210905,S08000019,,0,,10,
20210905,S08000020,,0,,50,
20210905,S08000031,,0,,28,
20210905,S08000022,,0,,3,
20210905,S08000032,,0,,4,
20210905,S08000024,,0,,47,
20210905,S08000025,,0,,0,
20210905,S08000026,,0,,0,
20210905,S08000030,,0,,11,
20210905,S08000028,,0,,1,
20210905,SB0801,,,:,0,
20210905,S92000003,d,0,,177,
20210912,S08000015,,0,,1,
20210912,S08000016,,0,,4,
20210912,S08000017,,0,,13,
20210912,S08000029,,0,,30,
20210912,S08000019,,1,,20,
20210912,S08000020,,0,,52,
20210912,S08000031,,0,,49,
20210912,S08000022,,0,,2,
20210912,S08000032,,0,,8,
20210912,S08000024,,0,,41,
20210912,S08000025,,0,,0,
20210912,S08000026,,0,,0,
20210912,S08000030,,0,,17,
20210912,S08000028,,0,,0,
20210912,SB0801,,,:,0,
20210912,S92000003,d,1,,237,
20210919,S08000015,,0,,1,
20210919,S08000016,,0,,6,
20210919,S08000017,,0,,5,
20210919,S08000029,,0,,29,
20210919,S08000019,,1,,18,
20210919,S08000020,,2,,43,
20210919,S08000031,,0,,42,
20210919,S08000022,,0,,1,
20210919,S08000032,,0,,5,
20210919,S08000024,,0,,37,
20210919,S08000025,,0,,0,
20210919,S08000026,,0,,0,
20210919,S08000030,,0,,16,
20210919,S08000028,,0,,0,
20210919,SB0801,,,:,0,
20210919,S92000003,d,3,,203,
20210926,S08000015,,0,,1,
20210926,S08000016,,0,,14,
20210926,S08000017,,1,,13,
20210926,S08000029,,0,,31,
20210926,S08000019,,0,,30,
20210926,S08000020,,0,,46,
20210926,S08000031,,0,,36,
20210926,S08000022,,0,,3,
20210926,S08000032,,0,,6,
20210926,S08000024,,0,,36,
20210926,S08000025,,0,,0,
20210926,S08000026,,0,,0,
20210926,S08000030,,0,,8,
20210926,S08000028,,0,,0,
20210926,SB0801,,,:,0,
20210926,S92000003,d,1,,224,
20211003,S08000015,,0,,1,
20211003,S08000016,,1,,7,
20211003,S08000017,,0,,13,
20211003,S08000029,,0,,44,
20211003,S08000019,,0,,19,
20211003,S08000020,,1,,44,
20211003,S08000031,,0,,43,
20211003,S08000022,,1,,7,
20211003,S08000032,,0,,10,
20211003,S08000024,,0,,39,
20211003,S08000025,,0,,0,
20211003,S08000026,,0,,0,
20211003,S08000030,,0,,7,
20211003,S08000028,,0,,0,
20211003,SB0801,,,:,1,
20211003,S92000003,d,3,,235,
20211010,S08000015,,0,,1,
20211010,S08000016,,0,,7,
20211010,S08000017,,0,,18,
20211010,S08000029,,1,,31,
20211010,S08000019,,1,,12,
20211010,S08000020,,0,,27,
20211010,S08000031,,2,,26,
20211010,S08000022,,0,,6,
20211010,S08000032,,1,,9,
20211010,S08000024,,2,,48,
20211010,S08000025,,0,,0,
20211010,S08000026,,0,,0,
20211010,S08000030,,0,,14,
20211010,S08000028,,0,,0,
20211010,SB0801,,,:,0,
20211010,S92000003,d,7,,199,
20211017,S08000015,,0,,0,
20211017,S08000016,,0,,4,
20211017,S08000017,,0,,13,
20211017,S08000029,,2,,20,
20211017,S08000019,,0,,9,
20211017,S08000020,,0,,38,
20211017,S08000031,,1,,31,
20211017,S08000022,,0,,1,
20211017,S08000032,,0,,9,
20211017,S08000024,,3,,34,
20211017,S08000025,,0,,0,
20211017,S08000026,,0,,1,
20211017,S08000030,,0,,12,
20211017,S08000028,,0,,0,
20211017,SB0801,,,:,0,
20211017,S92000003,d,6,,172,
20211024,S08000015,,0,,0,
20211024,S08000016,,0,,3,
20211024,S08000017,,0,,4,
20211024,S08000029,,0,,10,
20211024,S08000019,,0,,9,
20211024,S08000020,,0,,19,
20211024,S08000031,,1,,42,
20211024,S08000022,,0,,6,
20211024,S08000032,,0,,5,
20211024,S08000024,,0,,22,
20211024,S08000025,,0,,0,
20211024,S08000026,,0,,0,
20211024,S08000030,,0,,8,
20211024,S08000028,,0,,2,
20211024,SB0801,,,:,0,
20211024,S92000003,d,1,,130,
20211031,S08000015,,0,,0,
20211031,S08000016,,0,,3,
20211031,S08000017,,0,,3,
20211031,S08000029,,0,,7,
20211031,S08000019,,1,,4,
20211031,S08000020,,3,,15,
20211031,S08000031,,1,,22,
20211031,S08000022,,3,,7,
20211031,S08000032,,1,,1,
20211031,S08000024,,0,,10,
20211031,S08000025,,0,,0,
20211031,S08000026,,0,,0,
20211031,S08000030,,0,,4,
20211031,S08000028,,0,,0,
20211031,SB0801,,,:,0,
20211031,S92000003,d,9,,76,
20211107,S08000015,,0,,0,
20211107,S08000016,,0,,1,
20211107,S08000017,,1,,0,
20211107,S08000029,,1,,4,
20211107,S08000019,,0,,4,
20211107,S08000020,,0,,5,
20211107,S08000031,,1,,15,
20211107,S08000022,,0,,9,
20211107,S08000032,,1,,6,
20211107,S08000024,,0,,6,
20211107,S08000025,,0,,0,
20211107,S08000026,,0,,1,
20211107,S08000030,,1,,4,
20211107,S08000028,,0,,0,
20211107,SB0801,,,:,0,
20211107,S92000003,d,5,,55,
20211114,S08000015,,0,,5,
20211114,S08000016,,0,,1,
20211114,S08000017,,0,,3,
20211114,S08000029,,0,,12,
20211114,S08000019,,0,,7,
20211114,S08000020,,1,,8,
20211114,S08000031,,0,,13,
20211114,S08000022,,2,,12,
20211114,S08000032,,0,,5,
20211114,S08000024,,0,,7,
20211114,S08000025,,0,,0,
20211114,S08000026,,0,,4,
20211114,S08000030,,0,,1,
20211114,S08000028,,0,,1,
20211114,SB0801,,,:,0,
20211114,S92000003,d,3,,79,
20211121,S08000015,,0,,17,
20211121,S08000016,,0,,0,
20211121,S08000017,,0,,0,
20211121,S08000029,,2,,2,
20211121,S08000019,,0,,1,
20211121,S08000020,,1,,10,
20211121,S08000031,,2,,20,
20211121,S08000022,,0,,11,
20211121,S08000032,,0,,1,
20211121,S08000024,,0,,9,
20211121,S08000025,,0,,0,
20211121,S08000026,,0,,3,
20211121,S08000030,,1,,7,
20211121,S08000028,,0,,0,
20211121,SB0801,,,:,0,
20211121,S92000003,d,6,,81,
20211128,S08000015,,0,,15,
20211128,S08000016,,1,,1,
20211128,S08000017,,0,,0,
20211128,S08000029,,1,,1,
20211128,S08000019,,1,,2,
20211128,S08000020,,0,,4,
20211128,S08000031,,4,,14,
20211128,S08000022,,0,,8,
20211128,S08000032,,0,,0,
20211128,S08000024,,1,,8,
20211128,S08000025,,0,,0,
20211128,S08000026,,0,,5,
20211128,S08000030,,0,,4,
20211128,S08000028,,0,,1,
20211128,SB0801,,,:,0,
20211128,S92000003,d,8,,63,
20211205,S08000015,,0,,12,
20211205,S08000016,,0,,1,
20211205,S08000017,,0,,1,
20211205,S08000029,,2,,1,
20211205,S08000019,,1,,1,
20211205,S08000020,,0,,0,
20211205,S08000031,,3,,14,
20211205,S08000022,,0,,7,
20211205,S08000032,,0,,3,
20211205,S08000024,,1,,6,
20211205,S08000025,,0,,0,
20211205,S08000026,,0,,0,
20211205,S08000030,,0,,5,
20211205,S08000028,,0,,0,
20211205,SB0801,,,:,0,
20211205,S92000003,d,7,,51,
20211212,S08000015,,1,,5,
20211212,S08000016,,0,,1,
20211212,S08000017,,0,,0,
20211212,S08000029,,2,,2,
20211212,S08000019,,0,,2,
20211212,S08000020,,1,,3,
20211212,S08000031,,6,,11,
20211212,S08000022,,0,,10,
20211212,S08000032,,0,,1,
20211212,S08000024,,1,,7,
20211212,S08000025,,0,,0,
20211212,S08000026,,0,,0,
20211212,S08000030,,0,,7,
20211212,S08000028,,0,,2,
20211212,SB0801,,,:,0,
20211212,S92000003,d,11,,51,
20211219,S08000015,,0,,1,
20211219,S08000016,,0,,1,
20211219,S08000017,,0,,3,
20211219,S08000029,,0,,2,
20211219,S08000019,,0,,3,
20211219,S08000020,,0,,1,
20211219,S08000031,,6,,7,
20211219,S08000022,,0,,8,
20211219,S08000032,,0,,0,
20211219,S08000024,,1,,9,
20211219,S08000025,,0,,0,
20211219,S08000026,,0,,0,
20211219,S08000030,,2,,0,
20211219,S08000028,,0,,0,
20211219,SB0801,,,:,0,
20211219,S92000003,d,9,,35,
20211226,S08000015,,0,,8,
20211226,S08000016,,0,,1,
20211226,S08000017,,0,,0,
20211226,S08000029,,1,,2,
20211226,S08000019,,0,,1,
20211226,S08000020,,1,,6,
20211226,S08000031,,5,,6,
20211226,S08000022,,0,,2,
20211226,S08000032,,0,,0,
20211226,S08000024,,3,,0,
20211226,S08000025,,0,,0,
20211226,S08000026,,0,,0,
20211226,S08000030,,1,,0,
20211226,S08000028,,0,,0,
20211226,SB0801,,,:,0,
20211226,S92000003,d,11,,26,
20220102,S08000015,,1,,2,
20220102,S08000016,,0,,3,
20220102,S08000017,,1,,1,
20220102,S08000029,,0,,2,
20220102,S08000019,,0,,0,
20220102,S08000020,,1,,2,
20220102,S08000031,,4,,8,
20220102,S08000022,,0,,1,
20220102,S08000032,,0,,0,
20220102,S08000024,,1,,4,
20220102,S08000025,,0,,1,
20220102,S08000026,,0,,0,
20220102,S08000030,,2,,0,
20220102,S08000028,,0,,0,
20220102,SB0801,,,:,0,
20220102,S92000003,d,10,,24,
20220109,S08000015,,0,,2,
20220109,S08000016,,0,,0,
20220109,S08000017,,0,,0,
20220109,S08000029,,0,,1,
20220109,S08000019,,0,,0,
20220109,S08000020,,1,,3,
20220109,S08000031,,1,,5,
20220109,S08000022,,0,,1,
20220109,S08000032,,0,,0,
20220109,S08000024,,2,,9,
20220109,S08000025,,0,,0,
20220109,S08000026,,0,,0,
20220109,S08000030,,1,,2,
20220109,S08000028,,0,,0,
20220109,SB0801,,,:,0,
20220109,S92000003,d,5,,23,
20220116,S08000015,,0,,3,
20220116,S08000016,,0,,0,
20220116,S08000017,,0,,0,
20220116,S08000029,,0,,2,
20220116,S08000019,,0,,0,
20220116,S08000020,,1,,0,
20220116,S08000031,,3,,4,
20220116,S08000022,,0,,0,
20220116,S08000032,,0,,0,
20220116,S08000024,,0,,2,
20220116,S08000025,,0,,0,
20220116,S08000026,,0,,0,
20220116,S08000030,,0,,0,
20220116,S08000028,,0,,0,
20220116,SB0801,,,:,0,
20220116,S92000003,d,4,,11,
20220123,S08000015,,0,,1,
20220123,S08000016,,1,,0,
20220123,S08000017,,0,,1,
20220123,S08000029,,0,,2,
20220123,S08000019,,0,,2,
20220123,S08000020,,0,,0,
20220123,S08000031,,2,,2,
20220123,S08000022,,0,,0,
20220123,S08000032,,1,,0,
20220123,S08000024,,0,,3,
20220123,S08000025,,0,,0,
20220123,S08000026,,0,,0,
20220123,S08000030,,0,,0,
20220123,S08000028,,0,,0,
20220123,SB0801,,,:,0,
20220123,S92000003,d,4,,11,
20220130,S08000015,,1,,1,
20220130,S08000016,,0,,0,
20220130,S08000017,,1,,0,
20220130,S08000029,,0,,0,
20220130,S08000019,,0,,0,
20220130,S08000020,,1,,0,
20220130,S08000031,,3,,3,
20220130,S08000022,,0,,2,
20220130,S08000032,,0,,0,
20220130,S08000024,,0,,2,
20220130,S08000025,,0,,0,
20220130,S08000026,,0,,0,
20220130,S08000030,,0,,0,
20220130,S08000028,,0,,0,
20220130,SB0801,,,:,0,
20220130,S92000003,d,6,,8,
20220206,S08000015,,1,,0,
20220206,S08000016,,0,,0,
20220206,S08000017,,0,,0,
20220206,S08000029,,1,,2,
20220206,S08000019,,0,,2,
20220206,S08000020,,1,,0,
20220206,S08000031,,1,,4,
20220206,S08000022,,0,,1,
20220206,S08000032,,0,,1,
20220206,S08000024,,2,,0,
20220206,S08000025,,0,,0,
20220206,S08000026,,0,,0,
20220206,S08000030,,1,,0,
20220206,S08000028,,0,,0,
20220206,SB0801,,,:,0,
20220206,S92000003,d,7,,10,
20220213,S08000015,,1,,0,
20220213,S08000016,,0,,0,
20220213,S08000017,,0,,0,
20220213,S08000029,,1,,1,
20220213,S08000019,,0,,1,
20220213,S08000020,,0,,0,
20220213,S08000031,,2,,1,
20220213,S08000022,,0,,0,
20220213,S08000032,,1,,1,
20220213,S08000024,,1,,3,
20220213,S08000025,,0,,0,
20220213,S08000026,,0,,0,
20220213,S08000030,,3,,0,
20220213,S08000028,,0,,0,
20220213,SB0801,,,:,0,
20220213,S92000003,d,9,,7,
20220220,S08000015,,0,,0,
20220220,S08000016,,0,,0,
